"Id","Name","ISBN__c","Author_Name__c","Year__c","Genre__c"
"a02gK00000GGs6TQAT","1984","9780451524935","George Orwell","1949.0","Sci-Fi"
"a02gK00000GGyDWQA1","Harry Potter and the Cursed Child: Parts One and Two","9781338099133","J.K. Rowling","2016.0","Fantasy"
