"Author__c","Borrower__c","Cover_URL__c","Date_Added__c","Date_Read__c","Description__c","Due_Date__c","Format__c","Genre__c","ISBN__c","Id","Name","Pages__c","Publisher__c","Rating__c","Sale_Date__c","Sale_Price__c","Status__c","Thoughts__c","Year__c"
"a01gK00000mkFwTQAU","","https://m.media-amazon.com/images/I/71wANojhEKL._AC_UF1000,1000_QL80_.jpg","2026-04-12","","Dystopian novel about surveillance and control","","paperback","Sci-Fi","9780451524935","a00gK00000mpM9JQAU","1984","328.0","Secker & Warburg","5.0","","399.0","reading","Classic must-read, very relevant","1949.0"
"a01gK00000ml7iLQAQ","","https://m.media-amazon.com/images/I/817tkiYPPsL.jpg","2026-04-12","","A story set in Varanasi about three friends : Gopal, Raghav, and Aarti, caught between ambition, love, and corruption. It explores the flaws in India’s education system and how choices between money, power, and integrity shape their lives.","","paperback","Fiction","9788129135537","a00gK00000mpnpRQAQ","Revolution 2020: Love, Corruption, Ambition","296.0","Rupa Publications","4.0","","","available","chetan really is a heartbroken guy lol.","2011.0"
