author_id,name,country,dob,awards
author_1750dc46,George Orwell,United Kingdom,1903-06-25,"[""Prometheus Hall of Fame Award""]"
author_ca693f87,J.K. Rowling,England,1965-07-31,[]
author_2e29fbaa,Chetan Bhagat,India,1974-04-22,[]
