isbn,title,author_id,pages,year,genre,publisher,status,format,description,rating,thoughts,date_added,date_read,sale_price,sale_date,cover_url,borrower,due_date
9780451524935,1984,author_1750dc46,328.0,1949.0,Sci-Fi,Secker & Warburg,reading,paperback,Dystopian novel about surveillance and control,5.0,"Classic must-read, very relevant",2026-04-12,,399.0,,"https://m.media-amazon.com/images/I/71wANojhEKL._AC_UF1000,1000_QL80_.jpg",,
9788129135537,"Revolution 2020: Love, Corruption, Ambition",author_2e29fbaa,296.0,2011.0,Fiction,Rupa Publications,available,paperback,"A story set in Varanasi about three friends : Gopal, Raghav, and Aarti, caught between ambition, love, and corruption. It explores the flaws in India’s education system and how choices between money, power, and integrity shape their lives.",4.0,chetan really is a heartbroken guy lol.,2026-04-12,,,,https://m.media-amazon.com/images/I/817tkiYPPsL.jpg,,
